title,author
Caleb Williams,William Godwin
Justine,Marquis de Sade
Vathek,William Beckford
The 120 Days of Sodom,Marquis de Sade
"Cecilia, or Memoirs of An Heiress",Fanny Burney
Confessions,Jean-Jacques Rousseau
Dangerous Liaisons,Pierre Choderlos de Laclos
Reveries of the Solitary Walker,Jean-Jacques Rousseau
Evelina,Fanny Burney
The Sorrows of Young Werther,Johann Wolfgang von Goethe
Humphrey Clinker,Tobias George Smollett
The Man of FeelingHenry MacKenzie,
A Sentimental Journey,Laurence Sterne
Tristram Shandy,Luarence Sterne
The Vicar of Wakefield,Oliver Goldsmith
The Castle of Otranto,Horace Walpole
Emile,Jean-Jacques Rousseau
Rameau's Nephew,Denis Diderot
"Julie, or the New Eloise",Jean-Jacques Rousseau
"The History of Rasselas, Prince of Abissinia",Samuel Johnson
Candide,Francois Voltaire
The Female Quixote,Charlotte Lennox
Amelia,Henry Fielding
The Adventures of Peregrine Pickle,Tobias George Smollett
Fanny Hill,John Cleland
Tom Jones,Henry Fielding
The Adventures of Roderick Random,Tobias George Smollett
Clarissa,Samuel Richardson
Jacqui the Fatalist,Denis Diderot
Pamela,Samuel Richardson
Memoirs of Martinus Scriblerus,Alexander Pope
Joseph Andrews,Henry Fielding
A Modest Proposal,Jonathan Swift
Gulliver's Travels,Jonathan Swift
Roxana,Daniel Defoe
Moll Flanders,Daniel Defoe
Love in Excess,Eliza Haywood
Robinson Crusoe,Daniel Defoe
A Tale of a Tub,Jonathan Swift
"Oroonoko, or the Royal Slave",Apra Behn
The Princess of Cleves,Madame de Lafayette
The Pilgrim's Progress,John Bunyan
Don Quixote,Miguel de Cervantes
The Unfortunate Traveller,Thomas Nashe
Euphues: The Anatomy of Wit,John Lyly
Gargantua and Pantagruel,Francois Rabelais
The Thousand and One Nights,Anonymous
The Golden Ass,Apuleius
Heliodorus: An Ethiopian Romance,Heliodorus
Chaerras and Callirhoe,Chariton
The Metamorphoses,Ovid
Aesop's Fables,Aesop
